tweet_id,author_id,in_response_to_tweet_id,created_at,text,response_tweet_id,inbound,human_reply,intent,clean_text,clean_reply
100000,customer_100000,,2023-10-15 12:00:00,My order #125-5614226 has been delayed for 4 days now. Still waiting for any update! What is going on?,100001,True,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB,Order Delay,My order #125-5614226 has been delayed for 4 days now. Still waiting for any update! What is going on?,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB
100002,customer_100002,,2023-10-15 12:00:00,You charged me twice for my Prime membership renew! Please issue an immediate refund.,100003,True,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS,Refund Request,You charged me twice for my Prime membership renew! Please issue an immediate refund.,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS
100004,customer_100004,,2023-10-15 12:00:00,Someone hacked my account and changed the primary email address. Help urgently!,100005,True,We treat security alerts with immediate urgency. Please contact our specialized fraud team right away via amzn.to/security or DM us your registered phone number. ^AB,Account Access,Someone hacked my account and changed the primary email address. Help urgently!,We treat security alerts with immediate urgency. Please contact our specialized fraud team right away via amzn.to/security or DM us your registered phone number. ^AB
100006,customer_100006,,2023-10-15 12:00:00,My Amazon Pay balance is not showing up when I try to pay for my grocery order.,100007,True,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV",Payment Issue,My Amazon Pay balance is not showing up when I try to pay for my grocery order.,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV"
100008,customer_100008,,2023-10-15 12:00:00,The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,100009,True,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB,Product Complaint,The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB
100010,customer_100010,,2023-10-15 12:00:00,"App says delivered to front porch at 2 PM, but I was home and nothing was delivered. Package missing!",100011,True,"Sometimes carriers mark items delivered prematurely. Please check around your property or with neighbors. If it doesn't show up in 24 hours, DM us. ^AB",Delivery Problem,"App says delivered to front porch at 2 PM, but I was home and nothing was delivered. Package missing!","Sometimes carriers mark items delivered prematurely. Please check around your property or with neighbors. If it doesn't show up in 24 hours, DM us. ^AB"
100012,customer_100012,,2023-10-15 12:00:00,The return window closed yesterday by 1 day. Is there any way I can still return this unused item?,100013,True,We can check if an exception can be made for you. Please DM us your order number and reason for return so an agent can review your account. ^WE,Return Request,The return window closed yesterday by 1 day. Is there any way I can still return this unused item?,We can check if an exception can be made for you. Please DM us your order number and reason for return so an agent can review your account. ^WE
100014,customer_100014,,2023-10-15 12:00:00,Are you having a sale on Echo Dot devices next week for Prime Day?,100015,True,"We don't announce promotional deals in advance, but keep an eye on our Today's Deals page at amzn.to/deals for the latest announcements! ^AB",Other,Are you having a sale on Echo Dot devices next week for Prime Day?,"We don't announce promotional deals in advance, but keep an eye on our Today's Deals page at amzn.to/deals for the latest announcements! ^AB"
100016,customer_100016,,2023-10-15 12:00:00,My order #195-4668136 has been delayed for 4 days now. Still waiting for any update! What is going on?,100017,True,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB,Order Delay,My order #195-4668136 has been delayed for 4 days now. Still waiting for any update! What is going on?,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB
100018,customer_100018,,2023-10-15 12:00:00,You charged me twice for my Prime membership renew! Please issue an immediate refund.,100019,True,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS,Refund Request,You charged me twice for my Prime membership renew! Please issue an immediate refund.,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS
