tweet,intent,human_reply,escalation
My lawyer advised me to file a formal lawsuit in consumer court against Amazon for gross negligence on my undelivered Mac.,Order Delay,We understand your concern regarding order delivery. Please DM us your order ID so we can investigate immediately. ^AB,ESCALATE_TO_HUMAN
I am submitting a complaint to the FTC and taking legal action regarding recurring charges after subscription cancellation.,Payment Issue,Please DM us the account email and last 4 digits of the card charged so our billing specialist can assist. ^RK,ESCALATE_TO_HUMAN
If my damaged goods are not compensated within 24 hours my attorney is serving a subpoena.,Product Complaint,We apologize for the damaged items. Please DM us your order number and photos so we can resolve this urgently. ^ST,ESCALATE_TO_HUMAN
URGENT: Someone stole my credit card and made $3000 unauthorized purchases on Amazon right now!,Payment Issue,Please visit amzn.to/security right away to report unauthorized charges or DM us your registered phone number. ^PK,ESCALATE_TO_HUMAN
I fell victim to a scam where a third party seller took my money and closed their storefront. Fraud!,Payment Issue,We take fraud allegations very seriously. Please DM us the seller name and order ID so our Trust & Safety team can review. ^AB,ESCALATE_TO_HUMAN
There is a strange charge on my bank statement from Amazon EU that I never authorized.,Payment Issue,"We'd be glad to look into this charge. Please DM us the charge amount, date, and your billing postal code. ^MN",ESCALATE_TO_HUMAN
My account has been hacked! Primary email was changed without my permission and I am locked out.,Account Access,Please contact our Account Security specialists immediately at amzn.to/security or DM us your registered contact number. ^AB,ESCALATE_TO_HUMAN
I am receiving two-factor authentication codes every 2 minutes. Someone is trying to break into my account.,Account Access,Security is our priority. Please change your password immediately and review active sessions at amzn.to/auth. ^SK,ESCALATE_TO_HUMAN
My seller account credentials were compromised and bank account details modified!,Account Access,Please reach out directly via Seller Central emergency escalation or DM us your merchant token so we can freeze updates. ^JD,ESCALATE_TO_HUMAN
You worthless pieces of shit ruined my daughter's birthday! I hope your whole company burns to the ground.,Delivery Problem,We are deeply sorry for the disappointment caused. Please DM us your order number so a senior lead can review this. ^AB,ESCALATE_TO_HUMAN
Fucking idiots! Your courier threw the fragile package over the gate and broke everything.,Product Complaint,We sincerely apologize for this courier behavior. Please DM us your tracking number and order ID so we can address this. ^RK,ESCALATE_TO_HUMAN
I have called your customer service 4 times and spoken to 3 different agents. No one is helping me with my lost package!,Delivery Problem,We sincerely apologize for your experience after multiple contacts. Please DM us your order ID and phone number for immediate supervisor review. ^AB,ESCALATE_TO_HUMAN
This is my 5th time reaching out about this refund. Every agent gives a different answer and closes the ticket!,Refund Request,We apologize for the frustration caused by contradictory updates. Please DM your return tracking details so we can escalate to a supervisor. ^SK,ESCALATE_TO_HUMAN
Tried 3 times to get a replacement for my broken monitor and courier keeps missing the pickup window.,Return Request,We understand how frustrating missed pickups are after repeated attempts. Please DM us your pickup ID so we can reschedule with courier leadership. ^JD,ESCALATE_TO_HUMAN
Can somebody just help me? Nothing is working and I am lost.,Other,"We're here to help! Could you please let us know what specific issue or order you're dealing with, or DM us? ^AB",ESCALATE_TO_HUMAN
The thing happened again like last Tuesday.,Other,We'd love to help out! Could you please DM us more context or your order ID so we can look up your history? ^AB,ESCALATE_TO_HUMAN
"Amazon Prime delivery was promised by 8 PM yesterday, still hasn't arrived. Very disappointed.",Order Delay,"We understand how frustrating late deliveries are, especially with Prime. DM us your account email and order details so we can make this right. ^SK",AUTO_HANDLE
Tracking says delayed in transit since Monday. When can I expect delivery?,Order Delay,Sorry to hear your package is delayed in transit. Please send us a direct message with your tracking number so our logistics team can investigate. ^RK,AUTO_HANDLE
"Amazon Prime delivery was promised by 8 PM yesterday, still hasn't arrived. Very disappointed.",Order Delay,"We understand how frustrating late deliveries are, especially with Prime. DM us your account email and order details so we can make this right. ^SK",AUTO_HANDLE
Where is my order? The tracking has not updated for three days straight.,Order Delay,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD,AUTO_HANDLE
Where is my order? The tracking has not updated for three days straight.,Order Delay,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD,AUTO_HANDLE
Tracking says delayed in transit since Monday. When can I expect delivery?,Order Delay,Sorry to hear your package is delayed in transit. Please send us a direct message with your tracking number so our logistics team can investigate. ^RK,AUTO_HANDLE
My order #385-8563202 has been delayed for 4 days now. Still waiting for any update! What is going on?,Order Delay,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB,AUTO_HANDLE
Where is my order? The tracking has not updated for three days straight.,Order Delay,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD,AUTO_HANDLE
Where is my order? The tracking has not updated for three days straight.,Order Delay,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD,AUTO_HANDLE
My order #837-6038571 has been delayed for 4 days now. Still waiting for any update! What is going on?,Order Delay,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB,AUTO_HANDLE
"Amazon Prime delivery was promised by 8 PM yesterday, still hasn't arrived. Very disappointed.",Order Delay,"We understand how frustrating late deliveries are, especially with Prime. DM us your account email and order details so we can make this right. ^SK",AUTO_HANDLE
Where is my order? The tracking has not updated for three days straight.,Order Delay,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD,AUTO_HANDLE
Tracking says delayed in transit since Monday. When can I expect delivery?,Order Delay,Sorry to hear your package is delayed in transit. Please send us a direct message with your tracking number so our logistics team can investigate. ^RK,AUTO_HANDLE
Where is my order? The tracking has not updated for three days straight.,Order Delay,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD,AUTO_HANDLE
Tracking says delayed in transit since Monday. When can I expect delivery?,Order Delay,Sorry to hear your package is delayed in transit. Please send us a direct message with your tracking number so our logistics team can investigate. ^RK,AUTO_HANDLE
Where is my order? The tracking has not updated for three days straight.,Order Delay,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD,AUTO_HANDLE
Where is my order? The tracking has not updated for three days straight.,Order Delay,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD,AUTO_HANDLE
Where is my order? The tracking has not updated for three days straight.,Order Delay,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD,AUTO_HANDLE
Tracking says delayed in transit since Monday. When can I expect delivery?,Order Delay,Sorry to hear your package is delayed in transit. Please send us a direct message with your tracking number so our logistics team can investigate. ^RK,AUTO_HANDLE
Tracking says delayed in transit since Monday. When can I expect delivery?,Order Delay,Sorry to hear your package is delayed in transit. Please send us a direct message with your tracking number so our logistics team can investigate. ^RK,AUTO_HANDLE
Tracking says delayed in transit since Monday. When can I expect delivery?,Order Delay,Sorry to hear your package is delayed in transit. Please send us a direct message with your tracking number so our logistics team can investigate. ^RK,AUTO_HANDLE
Tracking says delayed in transit since Monday. When can I expect delivery?,Order Delay,Sorry to hear your package is delayed in transit. Please send us a direct message with your tracking number so our logistics team can investigate. ^RK,AUTO_HANDLE
My order #580-8419020 has been delayed for 4 days now. Still waiting for any update! What is going on?,Order Delay,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB,AUTO_HANDLE
I canceled the order before it dispatched. When will the refund be credited back to my bank?,Refund Request,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",AUTO_HANDLE
I returned my shoes 2 weeks ago and still haven't received my refund. Where is my money?,Refund Request,Refunds typically take 3-5 business days after the return is processed at our facility. Please DM us your return tracking details so we can expedite this. ^AB,AUTO_HANDLE
I returned my shoes 2 weeks ago and still haven't received my refund. Where is my money?,Refund Request,Refunds typically take 3-5 business days after the return is processed at our facility. Please DM us your return tracking details so we can expedite this. ^AB,AUTO_HANDLE
You charged me twice for my Prime membership renew! Please issue an immediate refund.,Refund Request,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS,AUTO_HANDLE
I returned my shoes 2 weeks ago and still haven't received my refund. Where is my money?,Refund Request,Refunds typically take 3-5 business days after the return is processed at our facility. Please DM us your return tracking details so we can expedite this. ^AB,AUTO_HANDLE
Can you please refund the money for the missing item in my package?,Refund Request,We apologize for the missing item! Please DM us your order ID and confirm which item was missing so we can process a full refund or replacement immediately. ^TR,AUTO_HANDLE
You charged me twice for my Prime membership renew! Please issue an immediate refund.,Refund Request,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS,AUTO_HANDLE
I returned my shoes 2 weeks ago and still haven't received my refund. Where is my money?,Refund Request,Refunds typically take 3-5 business days after the return is processed at our facility. Please DM us your return tracking details so we can expedite this. ^AB,AUTO_HANDLE
I canceled the order before it dispatched. When will the refund be credited back to my bank?,Refund Request,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",AUTO_HANDLE
I canceled the order before it dispatched. When will the refund be credited back to my bank?,Refund Request,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",AUTO_HANDLE
I returned my shoes 2 weeks ago and still haven't received my refund. Where is my money?,Refund Request,Refunds typically take 3-5 business days after the return is processed at our facility. Please DM us your return tracking details so we can expedite this. ^AB,AUTO_HANDLE
I canceled the order before it dispatched. When will the refund be credited back to my bank?,Refund Request,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",AUTO_HANDLE
You charged me twice for my Prime membership renew! Please issue an immediate refund.,Refund Request,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS,AUTO_HANDLE
I canceled the order before it dispatched. When will the refund be credited back to my bank?,Refund Request,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",AUTO_HANDLE
I returned my shoes 2 weeks ago and still haven't received my refund. Where is my money?,Refund Request,Refunds typically take 3-5 business days after the return is processed at our facility. Please DM us your return tracking details so we can expedite this. ^AB,AUTO_HANDLE
You charged me twice for my Prime membership renew! Please issue an immediate refund.,Refund Request,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS,AUTO_HANDLE
Can you please refund the money for the missing item in my package?,Refund Request,We apologize for the missing item! Please DM us your order ID and confirm which item was missing so we can process a full refund or replacement immediately. ^TR,AUTO_HANDLE
You charged me twice for my Prime membership renew! Please issue an immediate refund.,Refund Request,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS,AUTO_HANDLE
You charged me twice for my Prime membership renew! Please issue an immediate refund.,Refund Request,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS,AUTO_HANDLE
I canceled the order before it dispatched. When will the refund be credited back to my bank?,Refund Request,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",AUTO_HANDLE
Can you please refund the money for the missing item in my package?,Refund Request,We apologize for the missing item! Please DM us your order ID and confirm which item was missing so we can process a full refund or replacement immediately. ^TR,AUTO_HANDLE
I canceled the order before it dispatched. When will the refund be credited back to my bank?,Refund Request,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",AUTO_HANDLE
I canceled the order before it dispatched. When will the refund be credited back to my bank?,Refund Request,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",AUTO_HANDLE
My account got suspended without any explanation. How do I appeal this decision?,Account Access,We understand your concern. Account suspensions are reviewed by our specialized Account Review team. Please check your inbox for an email from our team or DM us. ^KJ,AUTO_HANDLE
I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,Account Access,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK,AUTO_HANDLE
I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,Account Access,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK,AUTO_HANDLE
Someone hacked my account and changed the primary email address. Help urgently!,Account Access,We treat security alerts with immediate urgency. Please contact our specialized fraud team right away via amzn.to/security or DM us your registered phone number. ^AB,ESCALATE_TO_HUMAN
I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,Account Access,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK,AUTO_HANDLE
I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,Account Access,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK,AUTO_HANDLE
My account got suspended without any explanation. How do I appeal this decision?,Account Access,We understand your concern. Account suspensions are reviewed by our specialized Account Review team. Please check your inbox for an email from our team or DM us. ^KJ,AUTO_HANDLE
My account got suspended without any explanation. How do I appeal this decision?,Account Access,We understand your concern. Account suspensions are reviewed by our specialized Account Review team. Please check your inbox for an email from our team or DM us. ^KJ,AUTO_HANDLE
I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,Account Access,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK,AUTO_HANDLE
My account got suspended without any explanation. How do I appeal this decision?,Account Access,We understand your concern. Account suspensions are reviewed by our specialized Account Review team. Please check your inbox for an email from our team or DM us. ^KJ,AUTO_HANDLE
I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,Account Access,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK,AUTO_HANDLE
"Cannot sign in to my Amazon Prime Video app, it keeps saying invalid password even after reset.",Account Access,"Sorry for the login hassle! Please ensure your app is updated to the latest version. If it persists, DM us the device details and your account email. ^NR",AUTO_HANDLE
I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,Account Access,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK,AUTO_HANDLE
Someone hacked my account and changed the primary email address. Help urgently!,Account Access,We treat security alerts with immediate urgency. Please contact our specialized fraud team right away via amzn.to/security or DM us your registered phone number. ^AB,ESCALATE_TO_HUMAN
